2015-02-04 13:17:16 startup archives unpack
2015-02-04 13:52:47 status installed curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:48 remove curlftpfs:amd64 0.9.2-5ubuntu1 <none>
2015-02-04 13:52:48 status half-configured curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:48 status half-installed curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:48 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:52:48 status config-files curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:48 status config-files curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:48 status config-files curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:48 status not-installed curlftpfs:amd64 <none>
2015-02-04 13:52:48 trigproc man-db:amd64 2.6.7.1-1ubuntu1 <none>
2015-02-04 13:52:48 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:52:48 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:00:44 startup archives unpack
2015-02-04 14:00:44 install libsepol1-dev:amd64 <none> 2.2-1ubuntu0.1
2015-02-04 14:00:44 status half-installed libsepol1-dev:amd64 2.2-1ubuntu0.1
2015-02-04 14:00:44 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:00:44 status unpacked libsepol1-dev:amd64 2.2-1ubuntu0.1
2015-02-04 14:00:44 status unpacked libsepol1-dev:amd64 2.2-1ubuntu0.1
2015-02-04 14:00:44 install libselinux1-dev:amd64 <none> 2.2.2-1ubuntu0.1
2015-02-04 14:00:44 status half-installed libselinux1-dev:amd64 2.2.2-1ubuntu0.1
2015-02-04 14:00:44 status unpacked libselinux1-dev:amd64 2.2.2-1ubuntu0.1
2015-02-04 14:00:44 status unpacked libselinux1-dev:amd64 2.2.2-1ubuntu0.1
2015-02-04 14:00:44 install libfuse-dev:amd64 <none> 2.9.2-4ubuntu4
2015-02-04 14:00:44 status half-installed libfuse-dev:amd64 2.9.2-4ubuntu4
2015-02-04 14:00:44 status unpacked libfuse-dev:amd64 2.9.2-4ubuntu4
2015-02-04 14:00:44 status unpacked libfuse-dev:amd64 2.9.2-4ubuntu4
2015-02-04 14:00:44 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-04 14:00:44 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:00:45 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:00:46 startup packages configure
2015-02-04 14:00:46 configure libsepol1-dev:amd64 2.2-1ubuntu0.1 <none>
2015-02-04 14:00:46 status unpacked libsepol1-dev:amd64 2.2-1ubuntu0.1
2015-02-04 14:00:46 status half-configured libsepol1-dev:amd64 2.2-1ubuntu0.1
2015-02-04 14:00:46 status installed libsepol1-dev:amd64 2.2-1ubuntu0.1
2015-02-04 14:00:46 configure libselinux1-dev:amd64 2.2.2-1ubuntu0.1 <none>
2015-02-04 14:00:46 status unpacked libselinux1-dev:amd64 2.2.2-1ubuntu0.1
2015-02-04 14:00:46 status half-configured libselinux1-dev:amd64 2.2.2-1ubuntu0.1
2015-02-04 14:00:46 status installed libselinux1-dev:amd64 2.2.2-1ubuntu0.1
2015-02-04 14:00:46 configure libfuse-dev:amd64 2.9.2-4ubuntu4 <none>
2015-02-04 14:00:46 status unpacked libfuse-dev:amd64 2.9.2-4ubuntu4
2015-02-04 14:00:46 status half-configured libfuse-dev:amd64 2.9.2-4ubuntu4
2015-02-04 14:00:46 status installed libfuse-dev:amd64 2.9.2-4ubuntu4
2015-02-04 14:17:17 startup archives unpack
2015-02-04 14:17:17 upgrade google-chrome-stable:amd64 40.0.2214.94-1 40.0.2214.95-1
2015-02-04 14:17:17 status half-configured google-chrome-stable:amd64 40.0.2214.94-1
2015-02-04 14:17:17 status unpacked google-chrome-stable:amd64 40.0.2214.94-1
2015-02-04 14:17:17 status half-installed google-chrome-stable:amd64 40.0.2214.94-1
2015-02-04 14:17:17 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:17:17 status triggers-pending mime-support:all 3.54ubuntu1.1
2015-02-04 14:17:17 status triggers-pending gnome-menus:amd64 3.10.1-0ubuntu2
2015-02-04 14:17:17 status triggers-pending desktop-file-utils:amd64 0.22-1ubuntu1
2015-02-04 14:17:17 status half-installed google-chrome-stable:amd64 40.0.2214.94-1
2015-02-04 14:17:24 status half-installed google-chrome-stable:amd64 40.0.2214.94-1
2015-02-04 14:17:24 status unpacked google-chrome-stable:amd64 40.0.2214.95-1
2015-02-04 14:17:24 status unpacked google-chrome-stable:amd64 40.0.2214.95-1
2015-02-04 14:17:24 install linux-image-3.13.0-45-generic:amd64 <none> 3.13.0-45.74
2015-02-04 14:17:24 status half-installed linux-image-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:28 status unpacked linux-image-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:28 status unpacked linux-image-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:28 upgrade tzdata-java:all 2014i-0ubuntu0.14.04 2015a-0ubuntu0.14.04
2015-02-04 14:17:28 status half-configured tzdata-java:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:28 status unpacked tzdata-java:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:28 status half-installed tzdata-java:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:28 status half-installed tzdata-java:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:29 status unpacked tzdata-java:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:29 status unpacked tzdata-java:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:29 upgrade tzdata:all 2014i-0ubuntu0.14.04 2015a-0ubuntu0.14.04
2015-02-04 14:17:29 status half-configured tzdata:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:29 status unpacked tzdata:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:29 status half-installed tzdata:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:29 status half-installed tzdata:all 2014i-0ubuntu0.14.04
2015-02-04 14:17:29 status unpacked tzdata:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:29 status unpacked tzdata:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:29 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-04 14:17:29 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:17:30 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:17:30 trigproc mime-support:all 3.54ubuntu1.1 3.54ubuntu1.1
2015-02-04 14:17:30 status half-configured mime-support:all 3.54ubuntu1.1
2015-02-04 14:17:30 status installed mime-support:all 3.54ubuntu1.1
2015-02-04 14:17:30 trigproc gnome-menus:amd64 3.10.1-0ubuntu2 3.10.1-0ubuntu2
2015-02-04 14:17:30 status half-configured gnome-menus:amd64 3.10.1-0ubuntu2
2015-02-04 14:17:30 status installed gnome-menus:amd64 3.10.1-0ubuntu2
2015-02-04 14:17:30 trigproc desktop-file-utils:amd64 0.22-1ubuntu1 0.22-1ubuntu1
2015-02-04 14:17:30 status half-configured desktop-file-utils:amd64 0.22-1ubuntu1
2015-02-04 14:17:30 status installed desktop-file-utils:amd64 0.22-1ubuntu1
2015-02-04 14:17:30 startup packages configure
2015-02-04 14:17:30 configure tzdata:all 2015a-0ubuntu0.14.04 <none>
2015-02-04 14:17:30 status unpacked tzdata:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:30 status half-configured tzdata:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:31 status installed tzdata:all 2015a-0ubuntu0.14.04
2015-02-04 14:17:31 startup archives unpack
2015-02-04 14:17:31 install linux-image-extra-3.13.0-45-generic:amd64 <none> 3.13.0-45.74
2015-02-04 14:17:31 status half-installed linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:40 status unpacked linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:40 status unpacked linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:40 upgrade linux-generic:amd64 3.13.0.44.51 3.13.0.45.52
2015-02-04 14:17:40 status half-configured linux-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status unpacked linux-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status half-installed linux-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status half-installed linux-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status unpacked linux-generic:amd64 3.13.0.45.52
2015-02-04 14:17:41 status unpacked linux-generic:amd64 3.13.0.45.52
2015-02-04 14:17:41 upgrade linux-image-generic:amd64 3.13.0.44.51 3.13.0.45.52
2015-02-04 14:17:41 status half-configured linux-image-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status unpacked linux-image-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status half-installed linux-image-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status half-installed linux-image-generic:amd64 3.13.0.44.51
2015-02-04 14:17:41 status unpacked linux-image-generic:amd64 3.13.0.45.52
2015-02-04 14:17:41 status unpacked linux-image-generic:amd64 3.13.0.45.52
2015-02-04 14:17:41 install linux-headers-3.13.0-45:all <none> 3.13.0-45.74
2015-02-04 14:17:41 status half-installed linux-headers-3.13.0-45:all 3.13.0-45.74
2015-02-04 14:17:47 status unpacked linux-headers-3.13.0-45:all 3.13.0-45.74
2015-02-04 14:17:47 status unpacked linux-headers-3.13.0-45:all 3.13.0-45.74
2015-02-04 14:17:47 install linux-headers-3.13.0-45-generic:amd64 <none> 3.13.0-45.74
2015-02-04 14:17:47 status half-installed linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:50 status unpacked linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:50 status unpacked linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:50 upgrade linux-headers-generic:amd64 3.13.0.44.51 3.13.0.45.52
2015-02-04 14:17:50 status half-configured linux-headers-generic:amd64 3.13.0.44.51
2015-02-04 14:17:50 status unpacked linux-headers-generic:amd64 3.13.0.44.51
2015-02-04 14:17:50 status half-installed linux-headers-generic:amd64 3.13.0.44.51
2015-02-04 14:17:50 status half-installed linux-headers-generic:amd64 3.13.0.44.51
2015-02-04 14:17:50 status unpacked linux-headers-generic:amd64 3.13.0.45.52
2015-02-04 14:17:50 status unpacked linux-headers-generic:amd64 3.13.0.45.52
2015-02-04 14:17:50 upgrade linux-libc-dev:amd64 3.13.0-44.73 3.13.0-45.74
2015-02-04 14:17:50 status half-configured linux-libc-dev:amd64 3.13.0-44.73
2015-02-04 14:17:50 status unpacked linux-libc-dev:amd64 3.13.0-44.73
2015-02-04 14:17:50 status half-installed linux-libc-dev:amd64 3.13.0-44.73
2015-02-04 14:17:50 status half-installed linux-libc-dev:amd64 3.13.0-44.73
2015-02-04 14:17:50 status unpacked linux-libc-dev:amd64 3.13.0-45.74
2015-02-04 14:17:51 status unpacked linux-libc-dev:amd64 3.13.0-45.74
2015-02-04 14:17:51 upgrade unzip:amd64 6.0-9ubuntu1.1 6.0-9ubuntu1.2
2015-02-04 14:17:51 status half-configured unzip:amd64 6.0-9ubuntu1.1
2015-02-04 14:17:51 status unpacked unzip:amd64 6.0-9ubuntu1.1
2015-02-04 14:17:51 status half-installed unzip:amd64 6.0-9ubuntu1.1
2015-02-04 14:17:51 status triggers-pending mime-support:all 3.54ubuntu1.1
2015-02-04 14:17:51 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:17:51 status half-installed unzip:amd64 6.0-9ubuntu1.1
2015-02-04 14:17:51 status unpacked unzip:amd64 6.0-9ubuntu1.2
2015-02-04 14:17:51 status unpacked unzip:amd64 6.0-9ubuntu1.2
2015-02-04 14:17:51 trigproc mime-support:all 3.54ubuntu1.1 3.54ubuntu1.1
2015-02-04 14:17:51 status half-configured mime-support:all 3.54ubuntu1.1
2015-02-04 14:17:51 status installed mime-support:all 3.54ubuntu1.1
2015-02-04 14:17:51 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-04 14:17:51 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:17:51 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 14:17:52 startup packages configure
2015-02-04 14:17:52 configure google-chrome-stable:amd64 40.0.2214.95-1 <none>
2015-02-04 14:17:52 status unpacked google-chrome-stable:amd64 40.0.2214.95-1
2015-02-04 14:17:52 status half-configured google-chrome-stable:amd64 40.0.2214.95-1
2015-02-04 14:17:56 status installed google-chrome-stable:amd64 40.0.2214.95-1
2015-02-04 14:17:56 configure linux-image-3.13.0-45-generic:amd64 3.13.0-45.74 <none>
2015-02-04 14:17:56 status unpacked linux-image-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:17:56 status half-configured linux-image-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:12 status installed linux-image-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:12 configure tzdata-java:all 2015a-0ubuntu0.14.04 <none>
2015-02-04 14:18:12 status unpacked tzdata-java:all 2015a-0ubuntu0.14.04
2015-02-04 14:18:12 status half-configured tzdata-java:all 2015a-0ubuntu0.14.04
2015-02-04 14:18:12 status installed tzdata-java:all 2015a-0ubuntu0.14.04
2015-02-04 14:18:12 configure linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74 <none>
2015-02-04 14:18:12 status unpacked linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:12 status half-configured linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:31 status installed linux-image-extra-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:31 configure linux-image-generic:amd64 3.13.0.45.52 <none>
2015-02-04 14:18:31 status unpacked linux-image-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 status half-configured linux-image-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 status installed linux-image-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 configure linux-headers-3.13.0-45:all 3.13.0-45.74 <none>
2015-02-04 14:18:31 status unpacked linux-headers-3.13.0-45:all 3.13.0-45.74
2015-02-04 14:18:31 status half-configured linux-headers-3.13.0-45:all 3.13.0-45.74
2015-02-04 14:18:31 status installed linux-headers-3.13.0-45:all 3.13.0-45.74
2015-02-04 14:18:31 configure linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74 <none>
2015-02-04 14:18:31 status unpacked linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:31 status half-configured linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:31 status installed linux-headers-3.13.0-45-generic:amd64 3.13.0-45.74
2015-02-04 14:18:31 configure linux-headers-generic:amd64 3.13.0.45.52 <none>
2015-02-04 14:18:31 status unpacked linux-headers-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 status half-configured linux-headers-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 status installed linux-headers-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 configure linux-generic:amd64 3.13.0.45.52 <none>
2015-02-04 14:18:31 status unpacked linux-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 status half-configured linux-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 status installed linux-generic:amd64 3.13.0.45.52
2015-02-04 14:18:31 configure linux-libc-dev:amd64 3.13.0-45.74 <none>
2015-02-04 14:18:31 status unpacked linux-libc-dev:amd64 3.13.0-45.74
2015-02-04 14:18:31 status half-configured linux-libc-dev:amd64 3.13.0-45.74
2015-02-04 14:18:31 status installed linux-libc-dev:amd64 3.13.0-45.74
2015-02-04 14:18:31 configure unzip:amd64 6.0-9ubuntu1.2 <none>
2015-02-04 14:18:31 status unpacked unzip:amd64 6.0-9ubuntu1.2
2015-02-04 14:18:31 status half-configured unzip:amd64 6.0-9ubuntu1.2
2015-02-04 14:18:31 status installed unzip:amd64 6.0-9ubuntu1.2
2015-02-04 16:03:39 startup archives unpack
2015-02-04 16:03:39 install smbnetfs:amd64 <none> 0.5.3b-1
2015-02-04 16:03:39 status half-installed smbnetfs:amd64 0.5.3b-1
2015-02-04 16:03:39 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 16:03:39 status unpacked smbnetfs:amd64 0.5.3b-1
2015-02-04 16:03:40 status unpacked smbnetfs:amd64 0.5.3b-1
2015-02-04 16:03:40 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-04 16:03:40 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 16:03:40 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 16:03:40 startup packages configure
2015-02-04 16:03:40 configure smbnetfs:amd64 0.5.3b-1 <none>
2015-02-04 16:03:40 status unpacked smbnetfs:amd64 0.5.3b-1
2015-02-04 16:03:40 status unpacked smbnetfs:amd64 0.5.3b-1
2015-02-04 16:03:40 status half-configured smbnetfs:amd64 0.5.3b-1
2015-02-04 16:03:40 status installed smbnetfs:amd64 0.5.3b-1
